dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Um método de defesa contra ataques DoS baseado em assinaturas digitais,"Almeida, Marcone Pereira de",2018-10-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34488,,,Acesso Aberto,Autenticação de pacotes||Assinatura digital||Criptografia de dados (Computação)||Segurança da informação||Redes de informação - sistemas de segurança||Segurança de dados,Tese
Método de super-resolução de única figura baseado em aprendizado para imagens de placas brasileiras de baixíssima qualidade,"Vicente, Alexandre Natã",2016-08-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22785,http://dx.doi.org/10.26512/2016.08.D.22785,Acesso Aberto,,Super-resolução||Aprendizado do computador||Placas de veículos||Criminalística||Análise de imagens,Dissertação
Método generalizado de localização de faltas baseado na teoria de ondas viajantes para linhas de transmissão não-homogêneas,"Leite Junior, Eduardo Jorge Silva",2020-11-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/41447,,,Acesso Aberto,Linhas híbridas||Linhas não-homogêneas||Sistemas de potência||Ondas viajantes,Tese
Método para a identificação dos limites de geração distribuída fotovoltaica que alteram a necessidade de reforços detectada pelo planejamento da expansão de sistemas de distribuição de média tensão,"Camargos, Ronaldo Sérgio Chacon",2016-07-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/21974,http://dx.doi.org/10.26512/2016.07.D.21974,Acesso Aberto,,Geração distribuída de energia elétrica||Energia solar||Energia elétrica - fontes alternativas,Dissertação
Método para avaliação da qualidade dos serviços prestados pelas concessionárias de distribuição de energia elétrica : aspectos técnicos e comerciais,"Barbosa, Ailson de Souza",2018-08-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/33903,,,Acesso Aberto,Energia elétrica - distribuição||Política energética||Energia elétrica - distribuição - avaliação||Distribuidoras de energia elétrica - qualidade do serviço,Tese
Método para determinação do limite de penetração da geração distribuída fotovoltaica em redes radiais de distribuiçãoMétodo para determinação do limite de penetração da geração distribuída fotovoltaica em redes radiais de distribuição,"Shayani, Rafael Amaral",2010-08-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/7117,,Acesso Aberto,,Energia elétrica - distribuição||Energia solar||Energia - fontes alternativas,Tese
Método para determinação do tipo de incentivo regulatório à geração distribuída solar fotovoltaica que potencializa seus benefícios técnicos na redeMétodo para determinação do tipo de incentivo regulatório à geração distribuída solar fotovoltaica que potencializa seus benefícios técnicos na rede,"Vieira, Daniel",2016-11-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22484,http://dx.doi.org/10.26512/2016.11.T.22484,Acesso Aberto,,Geração distribuída de energia elétrica||Energia solar||Energia elétrica - distribuição - Brasil,Tese
Métodos estatísticos aplicados a otimização de redes de telefonia móvel,"Martins, Thompson Araujo",2003-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/47158,http://dx.doi.org/10.26512/2003.12.D.47158,,Acesso Aberto,Redes de telecomunicações||Telefonia móvel||Detecção de falhas||Telefonia celular||Sistemas irradiantes,Dissertação
Métodos numéricos com ordens de convergência elevadas aplicados ao problema de despacho econômico de redes elétricas,"Silva, Lara Raquel de Jesus Rodrigues",2020-12-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40596,,,Acesso Aberto,Problema de despacho econômico||Sistemas não-lineares||Elevada ordem de convergência||Método de Newton-Raphson||Problema de otimização||Elevado número de iterações||Sistemas de grande porte,Dissertação
Métodos para reconstrução de imagens hiperespectrais para a costa brasileira baseados em compressive sensing,"Sousa, Daniele Dias",2023-01-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48378,,,Acesso Aberto,Imagens hiperespectrais||Compressive Sensing||Costa brasileira,Dissertação
Métricas objetivas baseadas em projeções para avaliação de qualidade em nuvens de pontos,"Torlig, Eric de Menezes",2018-12-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34757,,,Acesso Aberto,Nuvem de pontos||Qualidade visual||Conteúdos tridimensionais||Métricas,Dissertação
Mineração de dados aplicada à construção de bases de hash em computação forense,"Ruback, Marcelo Caldeira",2011-12-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10836,,Acesso Aberto,,Computação forense||Engenharia elétrica||Mineração de dados (Computação),Dissertação
"A missão crítica na articulação das áreas de infraestrutura, telecomunicações e tecnologia da  informação do data center: um estudo de seus significados e efeitos","Castro, João Luiz Ramalho de",2010-09-23,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10502,,Acesso Aberto,,Produtividade do trabalho||Aprendizagem organizacional||Comunicação nas organizações,Dissertação
Mitigação de problemas de desempenho entre sistemas autônomos com tráfego assimétrico focada na influência na tomada de decisão do BGPMitigação de problemas de desempenho entre sistemas autônomos com tráfego assimétrico focada na influência na tomada de decisão do BGP,"Deus, Márcio Augusto",2015-09-25,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18855,http://dx.doi.org/10.26512/2015.09.T.18855,Acesso Aberto,,Processo decisório||Redes de computação - protocolos||Internet,Tese
"Modal parameters and fault transients in double-circuit transmission lines : on the effects of conductor transposition, shield wires, and lossy soil modeling","Moraes, Caio Missiaggia",2023-06-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50916,,,Acesso Aberto,Linhas de transmissão||Eletromagnetismo,Dissertação
Modelagem analítica da vazão de redes sem fio baseadas na norma IEEE 802.11ah,"Soares, Stephanie Miranda",2019-07-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/33929,,,Acesso Aberto,IEEE 802.11 (Normas)||Sistemas de comunicação sem fio||Engenharia elétrica||Redes sem fio||Redes de computação - protocolos,Dissertação
Modelagem da propagação radiomóvel no ambiente Cerrado nas faixas denominadas VHF/UHFModelagem da propagação radiomóvel no ambiente Cerrado nas faixas denominadas VHF/UHF,"Alves, Giovanni César Ganime",2015-05-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19601,http://dx.doi.org/10.26512/2015.5.T.19601,Acesso Aberto,,Cerrados - propagação radiomóvel||Programação eletromagnética,Tese
Modelagem das interferências eletromagnéticas entre linhas de transmissão e tubulações metálicas subterrâneas e análise de impactos,"Britto, Amauri Gutierrez Martins",2017-11-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/31965,,,Acesso Aberto,Aterramento elétrico||Curto-circuito||Interferência eletromagnética||Linhas de transmissão||Tubulações metálicas,Dissertação
Modelagem de ameaças antiforenses aplicada ao processo forense digital,"Maués, Marcelo Brito",2016-12-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23033,http://dx.doi.org/10.26512/2016.12.D.23033,Acesso Aberto,,Gestão de riscos||Perícia forense digital||Perícia forense||Exame pericial||Mitigação de risco,Dissertação
Modelagem de canal sem fio para planejamento de rede celular de quarta geração em Brasília,"Zanetti, Paulo Rogério",2011-04-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10027,,Acesso Aberto,,Sistemas de telecomunicações||Interconexão em rede (Telecomunicações)||Sistemas de comunicação sem fio,Dissertação
Modelagem de incertezas em sistemas de aterramento elétricos,"Pereira, João Batista José",2008-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1258,,,Acesso Aberto,Sistema de aterramento elétrico||Pulso eletromagnético||Correntes elétricas||Técnica UT||Cargas e descargas||Engenharia elétrica||Tensão induzida,Tese
Modelagem de um sensor virtual para controle do conforto térmico,"Santos, Rafael Lourenço dos",2011-02-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/9280,,Acesso Aberto,,Sistemas dinâmicos diferenciais||Energia elétrica - consumo||Ar condicionado||Dinâmica dos fluidos,Dissertação
Modelagem e análise de funções de proteção anti-ilhamento de geradores distribuídos fotovoltaicos e térmicos,"Toledo, Rodrigo Tenório",2022-06-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/44737,,,Acesso Aberto,Geradores distribuídos||Setor elétrico||Energia elétrica - distribuição||Geradores fotovoltaicos||Geradores síncronos,Dissertação
Modelagem e análise de redes elétricas e métodos de redução da ordem de modelos dinâmicos de baixa e alta frequênciaModelagem e análise de redes elétricas e métodos de redução da ordem de modelos dinâmicos de baixa e alta frequência,"Varricchio, Sergio Luis",2015-12-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19569,http://dx.doi.org/10.26512/2015.12.T.19569,Acesso Aberto,,Análise modal||Método de Newton||Funções de transferência||Estabilidade eletromecânica,Tese
Modelagem e simulação da proteção de alimentadores de distribuição utilizando softwares tipo EMTP,"Conceição, Everaldo Nonato da",2012-08-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12292,,Acesso Aberto,,Energia elétrica - distribuição||Correntes elétricas||Conversores de corrente elétrica||Transformadores elétricos,Dissertação
Modelagem e simulação da proteção diferencial de alta impedância de barramentos no software ATP,"Alvarenga, Mardênnia Társis Silva",2014-12-18,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),repositorio.unb.br/handle/10482/17850,http://dx.doi.org/10.26512/2014.12.D.17850,Acesso Aberto,,Proteção diferencial - análise||Curto-circuito,Dissertação
Modelagem e simulação da proteção diferencial de baixa impedância de barramentos no software atp,"Vianna, Priscila de Lima",2013-12-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15399,,Acesso Aberto,,Subestações elétricas||Correntes elétricas||ATP (Programa de computador),Dissertação
Modelagem e simulação da proteção diferencial de transformadores de potência no ATP,"Tavares, Karla Antunes",2013-12-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/15342,,Acesso Aberto,,Transformadores elétricos||Energia elétrica - distribuição||Conversores de corrente elétrica||Correntes elétricas,Dissertação
Modelagem e simulação de pontos quânticos acopladosModelagem e simulação de pontos quânticos acoplados,"Batistuta, Marcus Vinicius",2007-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3132,,Acesso Aberto,,Engenharia elétrica||Energia,Tese
Modelagem e simulação do sistema de controle de uma microrrede de corrente alternada integrando sistemas fotovoltaicos e armazenamento de energia,"Victorio, Marcos Paulo Caballero",2023-06-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48386,,,Acesso Aberto,Microrredes||Inversores híbridos||Modelagem,Dissertação
Modelagem em alto nível do consumo de energia para sistema em chip em redes de sensores sem fio,"Madureira, Heider Marconi Guedes",2011-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10116,,Acesso Aberto,,Sistemas eletrônicos||Cartões inteligentes||Aparelhos e materiais eletrônicos,Dissertação
Modelagem em nível transacional de sistemas em chip mistos para aplicações de redes de sensores sem fioModelagem em nível transacional de sistemas em chip mistos para aplicações de redes de sensores sem fio,"Beserra, Gilmar Silva",2010-10-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/9553,,Acesso Aberto,,Modelagem||Redes de sensores||Circuitos integrados||Sistemas de comunicação sem fio,Tese
Modelagem hidrossedimentológica e dos serviços ecossistêmicos da Bacia do Rio Pardo (MG) em função do uso e cobertura do solo e do clima,"Bendito, Bianca Pietsch Cunha",2023-02-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Florestal (FT EFL),http://repositorio.unb.br/handle/10482/47810,,,Acesso Aberto,Semiárido||Variabilidade climática||Uso do solo||Cobertura do solo,Tese
Modelagem quaterniônica para a análise de cargas lineares trifásicas,"Komeno, André Seiki Figueiredo",2021-12-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/43069,,,Acesso Aberto,Energia - qualidade||Quatérnios||Teoria de circuitos||Cargas lineares,Dissertação
